"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"September 2017",DOLL,"VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",732,CHINA
"September 2017","RUG 3' X 5'",CZSS-1600/4,"Carpet Flammability Labeling","16 CFR 1630/31","Stop Sale and Correct Future Production","JV SALES LLC DBA JV RUGS AND PILLOWS","EDIFICIO BANCO POPULAR LOBBY C","SAN JUAN, PR 00926", ,228,CHINA
"September 2017","RUG 4' X 6'",63A,"Carpet Flammability Labeling","16 CFR 1630/31","Stop Sale and Correct Future Production","JV SALES LLC DBA JV RUGS AND PILLOWS, LL","EDIFICIO BANCO POPULAR LOBBY C","SAN JUAN, PR 00926", ,346,CHINA
"September 2017","TOY TRUCKS","VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",3972,CHINA
"September 2017","BOW AND ARROW SET",CJ-3/6107-6,"Exceeds Phthalate Permanent Ban Limit","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",720,CHINA
"September 2017","TOY SWORD",CJ-11/6172,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",432,CHINA
"September 2017","BUILDING BLOCKS",CJ-14/0819-1,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",600,CHINA
"September 2017","BUILDING BLOCKS",CJ-33/2871,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",180,CHINA
"September 2017","KIDS HOODED WAFFLE ROBE SOFT T",,"Sleepwear Flammability Failure","16 CFR 1615/16","Distribution Level Recall","SOFT TOUCH LINEN","3321 W CASTOR ST","SANTA ANA, CA 92704", ,5,TURKEY
"September 2017",CARPET,"VARIOUS, SEE RE","Carpet Flammability Failure","16 CFR 1630","Stop Sale and Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","KENNEDY CENTER CORP.",1706,CHINA
"September 2017",CARPET,"VARIOUS, SEE RE","Carpet Flammability Failure","16 CFR 1630","Stop Sale and Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","KENNEDY CENTER CORP.",1346,CHINA
"September 2017",CARPET,"VARIOUS, SEE RE","Carpet Standards Certificate Violation","15 U.S.C. § 2063(a)(1)","Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","KENNEDY CENTER CORP.",113,CHINA
"September 2017",CARPET,"VARIOUS, SEE RE","Carpet Flammability Labeling","16 CFR 1630/31","Stop Sale and Correct Future Production","J. PICA AND CO - PUERTO RICO","CALLE A, ESQ. ESCORIAL","SAN JUAN, PR 00920","KENNEDY CENTER CORP.",62,CHINA
"September 2017",BITCHIN,DM5272,"Pyrotechnic Materials Overload","16 CFR 1500.17","Stop Sale and Correct Future Production","MICHONS WHOLESALE","680 BACK NINE DR.","MONETA, VA 24121","LIUYANG ZHERGYU FIREWORKS",100,CHINA
"September 2017",BITCHIN',DM5272,"Pyrotechnic Materials Overload","16 CFR 1500.17","Stop Sale and Correct Future Production","DARROW VENTURES","749 FLEET FINANCIAL CT","LONGWOOD, FL 32750","LIUYANG ZHENGYU FIREWORKS TRADE CO. LTD.",84,CHINA
"September 2017","SANTA SUIT COSTUME",7560,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FUN WORLD","80 VOICE ROAD","CARLE PLACE , NEW YORK 11514","LINQU TENGFEI GARMENTS CO LTD",840,CHINA
